M,M_beta,gamma,scenario,build_time_s,qps,qps_no_filter,recall@10,index_size_mb,status,timestamp
32,48,4,equal,69.73,1659.21,4174.75,0.6060,441.0,success,2025-12-06T20:28:13.017758
32,48,4,or,69.73,725.38,873.36,0.9985,441.0,success,2025-12-06T20:28:15.948196
32,48,4,and,69.73,2185.51,2547.19,0.7060,441.0,success,2025-12-06T20:28:17.524283
32,48,8,equal,106.77,1934.16,4562.15,0.5595,443.1,success,2025-12-06T20:30:05.830611
32,48,8,or,106.77,812.97,878.21,0.9985,443.1,success,2025-12-06T20:30:08.708610
32,48,8,and,106.77,1617.62,2548.94,0.7205,443.1,success,2025-12-06T20:30:10.390278
32,48,12,equal,144.61,2110.04,4280.73,0.5935,445.2,success,2025-12-06T20:32:36.433433
32,48,12,or,144.61,759.27,929.61,0.9995,445.2,success,2025-12-06T20:32:39.581388
32,48,12,and,144.61,2465.75,4168.23,0.7225,445.2,success,2025-12-06T20:32:41.160960
32,48,24,equal,266.89,2013.53,4237.29,0.5890,451.6,success,2025-12-06T20:37:09.510523
32,48,24,or,266.89,648.93,740.14,0.9985,451.6,success,2025-12-06T20:37:12.395384
32,48,24,and,266.89,2003.75,2979.03,0.7470,451.6,success,2025-12-06T20:37:13.874890
32,64,4,equal,73.77,1807.34,3469.99,0.6885,449.1,success,2025-12-06T20:38:29.087181
32,64,4,or,73.77,647.98,784.99,0.9970,449.1,success,2025-12-06T20:38:32.068598
32,64,4,and,73.77,1364.88,1909.46,0.7315,449.1,success,2025-12-06T20:38:33.813367
32,64,8,equal,111.82,1871.49,3375.93,0.6475,451.2,success,2025-12-06T20:40:27.075078
32,64,8,or,111.82,561.83,682.98,0.9985,451.2,success,2025-12-06T20:40:30.192877
32,64,8,and,111.82,2266.67,2896.45,0.7610,451.2,success,2025-12-06T20:40:31.817852
32,64,12,equal,151.23,2173.99,3415.25,0.6750,453.3,success,2025-12-06T20:43:04.475647
32,64,12,or,151.23,652.27,758.50,0.9995,453.3,success,2025-12-06T20:43:07.473128
32,64,12,and,151.23,2599.47,2966.35,0.7120,453.3,success,2025-12-06T20:43:09.003893
32,64,24,equal,276.55,1923.26,3520.76,0.6890,459.7,success,2025-12-06T20:47:47.051426
32,64,24,or,276.55,838.43,897.31,0.9995,459.7,success,2025-12-06T20:47:50.014981
32,64,24,and,276.55,2061.45,2885.13,0.7430,459.7,success,2025-12-06T20:47:51.543770
48,48,4,equal,112.19,1750.78,3172.59,0.7520,453.1,success,2025-12-06T20:49:48.652466
48,48,4,or,112.19,488.48,539.75,0.9995,453.1,success,2025-12-06T20:49:52.096037
48,48,4,and,112.19,1440.82,1994.97,0.7525,453.1,success,2025-12-06T20:49:53.860788
48,48,8,equal,166.13,2239.22,3365.42,0.7340,455.2,success,2025-12-06T20:52:41.370090
48,48,8,or,166.13,854.90,934.29,1.0000,455.2,success,2025-12-06T20:52:44.900780
48,48,8,and,166.13,2151.58,3795.13,0.7450,455.2,success,2025-12-06T20:52:46.576504
48,48,12,equal,218.96,2547.03,4078.97,0.6770,457.3,success,2025-12-06T20:56:26.920938
48,48,12,or,218.96,474.32,536.04,1.0000,457.3,success,2025-12-06T20:56:30.441003
48,48,12,and,218.96,1367.94,2184.15,0.7435,457.3,success,2025-12-06T20:56:32.165357
48,48,24,equal,391.70,2609.46,3565.37,0.7575,463.6,success,2025-12-06T21:03:05.382419
48,48,24,or,391.70,543.85,596.41,1.0000,463.6,success,2025-12-06T21:03:08.990997
48,48,24,and,391.70,1362.38,1924.98,0.7670,463.6,success,2025-12-06T21:03:10.895020
48,64,4,equal,117.91,2116.63,2731.39,0.7345,461.2,success,2025-12-06T21:05:10.297960
48,64,4,or,117.91,703.82,834.52,0.9995,461.2,success,2025-12-06T21:05:13.745826
48,64,4,and,117.91,1545.62,2211.85,0.7565,461.2,success,2025-12-06T21:05:15.650260
48,64,8,equal,174.30,1640.70,2412.57,0.7590,463.3,success,2025-12-06T21:08:11.602588
48,64,8,or,174.30,799.32,836.81,1.0000,463.3,success,2025-12-06T21:08:15.096746
48,64,8,and,174.30,3101.11,3981.36,0.7645,463.3,success,2025-12-06T21:08:16.874665
48,64,12,equal,225.21,1658.93,2592.05,0.7355,465.4,success,2025-12-06T21:12:03.664448
48,64,12,or,225.21,661.30,758.17,1.0000,465.4,success,2025-12-06T21:12:07.106106
48,64,12,and,225.21,2132.88,3150.80,0.7635,465.4,success,2025-12-06T21:12:08.889807
48,64,24,equal,394.46,1922.74,3068.47,0.8145,471.7,success,2025-12-06T21:18:45.111668
48,64,24,or,394.46,608.67,685.04,1.0000,471.7,success,2025-12-06T21:18:48.551777
48,64,24,and,394.46,1100.00,1408.12,0.7845,471.7,success,2025-12-06T21:18:50.544345
48,96,4,equal,130.26,1494.26,2509.38,0.8760,477.4,success,2025-12-06T21:21:02.741065
48,96,4,or,130.26,1053.50,1122.52,0.9985,477.4,success,2025-12-06T21:21:06.186579
48,96,4,and,130.26,1589.50,2383.76,0.7920,477.4,success,2025-12-06T21:21:08.436967
48,96,8,equal,188.03,1916.77,3243.54,0.8560,479.5,success,2025-12-06T21:24:18.459333
48,96,8,or,188.03,673.98,787.17,1.0000,479.5,success,2025-12-06T21:24:22.001760
48,96,8,and,188.03,1564.20,1992.92,0.8065,479.5,success,2025-12-06T21:24:23.939972
48,96,12,equal,244.42,1849.23,3019.10,0.8580,481.6,success,2025-12-06T21:28:30.245868
48,96,12,or,244.42,864.50,1120.28,0.9990,481.6,success,2025-12-06T21:28:33.801162
48,96,12,and,244.42,1620.61,2223.43,0.8100,481.6,success,2025-12-06T21:28:35.943112
48,96,24,equal,417.79,1894.13,2947.77,0.8760,487.9,success,2025-12-06T21:35:35.667816
48,96,24,or,417.79,1485.59,1787.10,0.9990,487.9,success,2025-12-06T21:35:39.114680
48,96,24,and,417.79,1987.77,2440.63,0.8070,487.9,success,2025-12-06T21:35:41.155964
64,64,4,equal,161.61,3613.43,5014.53,0.7340,473.3,success,2025-12-06T21:38:26.142330
64,64,4,or,161.61,400.22,466.90,0.9995,473.3,success,2025-12-06T21:38:30.213974
64,64,4,and,161.61,1996.37,2644.10,0.7695,473.3,success,2025-12-06T21:38:32.213090
64,64,8,equal,235.16,2122.76,4432.53,0.7830,475.4,success,2025-12-06T21:42:29.197735
64,64,8,or,235.16,963.51,1090.14,0.9995,475.4,success,2025-12-06T21:42:33.137298
64,64,8,and,235.16,2126.44,2608.21,0.7990,475.4,success,2025-12-06T21:42:35.165976
64,64,12,equal,302.93,2673.52,3383.58,0.8130,477.5,success,2025-12-06T21:47:39.885517
64,64,12,or,302.93,601.23,656.81,0.9995,477.5,success,2025-12-06T21:47:43.818712
64,64,12,and,302.93,2314.07,3680.73,0.7895,477.5,success,2025-12-06T21:47:45.768142
64,64,24,equal,435.78,2265.03,3953.81,0.8460,483.7,success,2025-12-06T21:55:03.478122
64,64,24,or,435.78,977.36,1083.11,1.0000,483.7,success,2025-12-06T21:55:07.325252
64,64,24,and,435.78,2233.19,2682.05,0.8030,483.7,success,2025-12-06T21:55:09.330696
64,96,4,equal,177.55,1912.05,2119.86,0.8775,489.5,success,2025-12-06T21:58:08.865736
64,96,4,or,177.55,642.83,727.63,1.0000,489.5,success,2025-12-06T21:58:12.668801
64,96,4,and,177.55,1998.54,2233.09,0.8425,489.5,success,2025-12-06T21:58:14.930319
64,96,8,equal,248.14,1719.90,2149.15,0.8565,491.6,success,2025-12-06T22:02:25.092016
64,96,8,or,248.14,863.82,935.53,0.9995,491.6,success,2025-12-06T22:02:28.890618
64,96,8,and,248.14,1959.09,2205.51,0.8180,491.6,success,2025-12-06T22:02:31.141530
64,96,12,equal,310.60,1979.49,2430.49,0.8835,493.7,success,2025-12-06T22:07:43.843907
64,96,12,or,310.60,1286.16,1450.60,0.9995,493.7,success,2025-12-06T22:07:47.642281
64,96,12,and,310.60,2165.63,2813.14,0.8455,493.7,success,2025-12-06T22:07:49.938072
64,96,24,equal,484.11,1616.26,2357.63,0.9060,499.9,success,2025-12-06T22:15:56.129474
64,96,24,or,484.11,972.08,1100.66,0.9995,499.9,success,2025-12-06T22:16:00.050242
64,96,24,and,484.11,1394.96,1674.58,0.8520,499.9,success,2025-12-06T22:16:02.319247
64,128,4,equal,191.98,1462.16,1718.14,0.9070,505.7,success,2025-12-06T22:19:16.620543
64,128,4,or,191.98,1078.02,1154.51,1.0000,505.7,success,2025-12-06T22:19:20.474933
64,128,4,and,191.98,1758.32,1916.92,0.8130,505.7,success,2025-12-06T22:19:22.933979
64,128,8,equal,264.89,1463.63,1680.62,0.9235,507.8,success,2025-12-06T22:23:50.176777
64,128,8,or,264.89,966.97,1123.98,1.0000,507.8,success,2025-12-06T22:23:53.924982
64,128,8,and,264.89,2183.67,2758.51,0.8530,507.8,success,2025-12-06T22:23:56.413797
64,128,12,equal,324.15,1531.87,1665.58,0.9100,509.9,success,2025-12-06T22:29:22.896136
64,128,12,or,324.15,664.28,692.37,1.0000,509.9,success,2025-12-06T22:29:26.682368
64,128,12,and,324.15,2631.02,3323.52,0.8085,509.9,success,2025-12-06T22:29:29.063567
64,128,24,equal,446.54,1346.04,1569.51,0.9235,516.1,success,2025-12-06T22:36:57.975754
64,128,24,or,446.54,986.90,1133.96,1.0000,516.1,success,2025-12-06T22:37:01.797894
64,128,24,and,446.54,1598.15,1907.92,0.8610,516.1,success,2025-12-06T22:37:04.280150
